Age,Temperature
Deuterium,Temperature
,
,
,
,
,
,
,
,
,
,
,
,
-417.3,-5.06
-417.1,-5.03
-411.9,-4.18
-415.5,-4.78
-413.4,-4.43
-405,-3.06
-417.2,-5.07
-405.5,-3.15
-414.3,-4.60
-414.8,-4.68
-412,-4.23
-407.5,-3.49
-403.4,-2.82
-402.3,-2.64
-405.9,-3.24
-410.4,-3.98
-410.8,-4.05
-413.4,-4.48
-406,-3.27
-402.6,-2.71
-404.3,-3.00
-406.9,-3.43
-411.2,-4.14
-392.2,-1.02
-397.7,-1.93
-399.1,-2.16
-402.3,-2.69
-401.1,-2.50
-403.9,-2.96
-401.2,-2.52
-418.2,-5.32
-408.8,-3.78
-402.3,-2.71
-411.1,-4.17
-411.1,-4.17
-407.3,-3.55
-413.6,-4.59
-411.2,-4.20
-418.6,-5.42
-415.7,-4.94
-411.3,-4.22
-416.2,-5.03
-412.6,-4.44
-407.6,-3.62
-410.1,-4.04
-411.6,-4.29
-407.5,-3.62
-409.9,-4.02
-411.3,-4.25
-419,-5.52
-399.4,-2.30
-413,-4.54
-416.4,-5.10
-416.3,-5.09
-410,-4.05
-410.7,-4.17
-412.7,-4.50
-411.8,-4.36
-414.2,-4.76
-416.6,-5.16
-420,-5.72
-418.5,-5.47
-419.6,-5.66
-418.7,-5.51
-420.1,-5.74
-419.8,-5.70
-414,-4.75
-416.2,-5.11
-417.6,-5.35
-421.6,-6.01
-416.6,-5.19
-423.8,-6.37
-414.2,-4.80
-417.8,-5.39
-416.9,-5.25
-419.1,-5.61
-417.3,-5.32
-419.1,-5.62
-420.3,-5.82
-422.5,-6.18
-417.7,-5.39
-425.4,-6.66
-420.8,-5.91
-421.1,-5.96
-424.1,-6.46
-426.8,-6.90
-425.9,-6.76
-420.9,-5.94
-421.9,-6.10
-421.7,-6.07
-422.6,-6.22
-429.8,-7.41
-423.9,-6.44
-421.9,-6.12
-425.8,-6.76
-426,-6.79
-425.7,-6.75
-426.4,-6.86
-434.2,-8.15
-427.5,-7.05
-429.9,-7.44
-428.1,-7.15
-426.1,-6.82
-438.3,-8.83
-429.4,-7.37
-434.5,-8.21
-433.9,-8.11
-434.6,-8.23
-439.3,-9.00
-431.6,-7.74
-432,-7.80
-435.5,-8.38
-429.4,-7.38
-437.2,-8.66
-429.5,-7.40
-441.5,-9.37
-436.2,-8.50
-435.6,-8.40
-439.9,-9.11
-435.5,-8.39
-439.7,-9.08
-442.5,-9.54
-442.1,-9.47
-442.1,-9.47
-443.5,-9.70
-433.9,-8.13
-439,-8.97
-443.7,-9.74
-438.6,-8.90
-438.4,-8.87
-442.5,-9.54
-444.2,-9.82
-443.1,-9.64
-440.5,-9.21
-440.7,-9.25
-438.8,-8.94
-440.3,-9.18
-441.9,-9.45
-441.7,-9.41
-441.4,-9.36
-442.3,-9.51
-441.6,-9.40
-447.4,-10.35
-437.2,-8.67
-440.8,-9.26
-436.5,-8.56
-444.8,-9.92
-440.5,-9.21
-442.9,-9.61
-441.4,-9.36
-439.3,-9.02
-443.4,-9.69
-438.2,-8.84
-446,-10.12
-441.3,-9.34
-435.8,-8.44
-447.9,-10.43
-444.6,-9.89
-436.3,-8.52
-442.5,-9.54
-441.3,-9.34
-432,-7.81
-442.6,-9.55
-438.7,-8.91
-445.1,-9.96
-440.2,-9.16
-443.8,-9.75
-443,-9.62
-446.5,-10.19
-441.5,-9.37
-446.5,-10.19
-444.9,-9.93
-438.9,-8.94
-438.3,-8.84
-436.4,-8.53
-442.4,-9.51
-448,-10.43
-444.2,-9.81
-441.7,-9.40
-439.5,-9.04
-442.1,-9.46
-437.5,-8.71
-444.1,-9.79
-440.6,-9.22
-442.5,-9.53
-443.5,-9.69
-443.7,-9.72
-446.5,-10.18
-438.8,-8.92
-438.3,-8.83
-441.2,-9.31
-442.3,-9.49
-443.3,-9.65
-443.2,-9.64
-439.5,-9.03
-441.5,-9.36
-441.8,-9.41
-442.2,-9.47
-441.7,-9.39
-446.3,-10.14
-440.9,-9.25
-442.5,-9.52
-437.8,-8.74
-439.7,-9.06
-445.6,-10.02
-445.7,-10.04
-440.6,-9.20
-436.9,-8.59
-432.8,-7.92
-446.1,-10.10
-443.7,-9.71
-438.8,-8.90
-443.3,-9.64
-446.2,-10.12
-442.9,-9.57
-439.2,-8.96
-437.7,-8.72
-436.2,-8.47
-442,-9.42
-440.3,-9.14
-443.1,-9.60
-442.2,-9.45
-444.4,-9.82
-445.4,-9.98
-443.5,-9.67
-438.3,-8.81
-445.8,-10.04
-445,-9.91
-435.6,-8.36
-440.3,-9.14
-442,-9.41
-437.9,-8.74
-440.8,-9.22
-445.1,-9.92
-439.5,-9.00
-445.5,-9.98
-441.7,-9.36
-443.3,-9.62
-441.9,-9.39
-444,-9.73
