 Gasage  (yr  BP)   , CO2  (ppmv) , Location 
 310.18550000000005 , 276.6872122505445 , Law  Dome  (Rubino  et  al.,  2013) 
 321.4006999999999 , 273.78076231204557 , Law  Dome  (Rubino  et  al.,  2013) 
 340.53919999999994 , 271.10903046702873 , Law  Dome  (Rubino  et  al.,  2013) 
 346.58140000000003 , 275.066577843599 , Law  Dome  (Rubino  et  al.,  2013) 
 359.0093999999999 , 279.3568610690018 , Law  Dome  (Rubino  et  al.,  2013) 
 361.8233 , 281.10892823134105 , Law  Dome  (Rubino  et  al.,  2013) 
 376.98710000000005 , 282.5698274885973 , Law  Dome  (Rubino  et  al.,  2013) 
 390.1370999999999 , 281.82904146165555 , Law  Dome  (Rubino  et  al.,  2013) 
 400.35249999999996 , 283.5296825674026 , Law  Dome  (Rubino  et  al.,  2013) 
 420.3243 , 283.94789036843633 , Law  Dome  (Rubino  et  al.,  2013) 
 448.4713999999999 , 283.1247803916497 , Law  Dome  (Rubino  et  al.,  2013) 
 480.6032 , 280.3125047226672 , Law  Dome  (Rubino  et  al.,  2013) 
 500.83619999999996 , 282.22658040584827 , Law  Dome  (Rubino  et  al.,  2013) 
 521.1956 , 279.7256958832981 , Law  Dome  (Rubino  et  al.,  2013) 
 539.1394 , 279.6965499485699 , Law  Dome  (Rubino  et  al.,  2013) 
 559.6678999999999 , 280.9115788303861 , Law  Dome  (Rubino  et  al.,  2013) 
 601.1501000000001 , 278.3621212274177 , Law  Dome  (Rubino  et  al.,  2013) 
 619.8800000000001 , 284.0676432722511 , Law  Dome  (Rubino  et  al.,  2013) 
 642.5527999999999 , 281.5784089788515 , Law  Dome  (Rubino  et  al.,  2013) 
 671.8032000000001 , 278.4312489162189 , Law  Dome  (Rubino  et  al.,  2013) 
 690.4929 , 282.199286054067 , Law  Dome  (Rubino  et  al.,  2013) 
 698.7306000000001 , 282.41311047504325 , Law  Dome  (Rubino  et  al.,  2013) 
 739.0450000000001 , 283.68828915610504 , Law  Dome  (Rubino  et  al.,  2013) 
 750.1886 , 284.54004420226613 , Law  Dome  (Rubino  et  al.,  2013) 
 784.0183999999999 , 283.9659747066713 , Law  Dome  (Rubino  et  al.,  2013) 
 803.7130999999999 , 284.510584449478 , Law  Dome  (Rubino  et  al.,  2013) 
 834.3911 , 282.8416314024614 , Law  Dome  (Rubino  et  al.,  2013) 
 850.5902000000001 , 283.0944582572788 , Law  Dome  (Rubino  et  al.,  2013) 
 879.7973 , 282.8444160166049 , Law  Dome  (Rubino  et  al.,  2013) 
 900.82294 , 280.9667443357615 , Law  Dome  (Rubino  et  al.,  2013) 
 909.92083 , 280.9161701585891 , Law  Dome  (Rubino  et  al.,  2013) 
 930.72784 , 280.06452973881244 , Law  Dome  (Rubino  et  al.,  2013) 
 932.42209 , 279.7987034131486 , Law  Dome  (Rubino  et  al.,  2013) 
 967.34583 , 278.7402401551619 , Law  Dome  (Rubino  et  al.,  2013) 
 992.34736 , 277.4071684030988 , Law  Dome  (Rubino  et  al.,  2013) 
 1035.87184 , 280.10552589040225 , Law  Dome  (Rubino  et  al.,  2013) 
 1074.5898 , 279.42044060983585 , Law  Dome  (Rubino  et  al.,  2013) 
 1127.67222 , 278.62300321449914 , Law  Dome  (Rubino  et  al.,  2013) 
 1156.8950399999999 , 279.72469920818 , Law  Dome  (Rubino  et  al.,  2013) 
 1187.70454 , 279.29371083930937 , Law  Dome  (Rubino  et  al.,  2013) 
 1219.5665 , 279.9902637416671 , Law  Dome  (Rubino  et  al.,  2013) 
 1248.75007 , 277.098940914164 , Law  Dome  (Rubino  et  al.,  2013) 
 1280.82364 , 278.45496800258206 , Law  Dome  (Rubino  et  al.,  2013) 
 1313.00077 , 279.58805021854124 , Law  Dome  (Rubino  et  al.,  2013) 
 1335.4754400000002 , 277.86971612986054 , Law  Dome  (Rubino  et  al.,  2013) 
 1367.59231 , 276.19603745957005 , Law  Dome  (Rubino  et  al.,  2013) 
 1392.53167 , 278.4608975547629 , Law  Dome  (Rubino  et  al.,  2013) 
 1398.37838 , 276.5590465243607 , Law  Dome  (Rubino  et  al.,  2013) 
 1432.04389 , 276.78951906858396 , Law  Dome  (Rubino  et  al.,  2013) 
 1461.86806 , 277.1056915049757 , Law  Dome  (Rubino  et  al.,  2013) 
 1513.06166 , 279.9999146746923 , Law  Dome  (Rubino  et  al.,  2013) 
 1543.63545 , 279.12520908544417 , Law  Dome  (Rubino  et  al.,  2013) 
 1565.77312 , 277.24691789826335 , Law  Dome  (Rubino  et  al.,  2013) 
 1592.66644 , 277.79537780888165 , Law  Dome  (Rubino  et  al.,  2013) 
 1632.4542099999999 , 281.692138914424 , Law  Dome  (Rubino  et  al.,  2013) 
 1654.39543 , 280.9089598541969 , Law  Dome  (Rubino  et  al.,  2013) 
 1675.55608 , 280.2444922059889 , Law  Dome  (Rubino  et  al.,  2013) 
 1683.9046899999998 , 278.31439989271746 , Law  Dome  (Rubino  et  al.,  2013) 
 1709.3986 , 280.24908719030117 , Law  Dome  (Rubino  et  al.,  2013) 
 1775.46638 , 277.55589209790946 , Law  Dome  (Rubino  et  al.,  2013) 
 1796.46924 , 278.0719954240161 , Law  Dome  (Rubino  et  al.,  2013) 
 1814.0 , 278.1 , Law  Dome  (MacFarling  Meure  et  al.,  2006) 
 1846.0 , 277.5 , Law  Dome  (MacFarling  Meure  et  al.,  2006) 
 1894.0 , 277.4 , Law  Dome  (MacFarling  Meure  et  al.,  2006) 
